code,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,Y1,Y1
002078,0.035107,0.02971,0.019411,2.121048,1.544381,6.141408,0.638705,0.550482,-0.019374,0.627709,126.90,0.409903,中等,98
002078,0.059883,0.031459,0.019847,5.140577,2.677063,3.284057,0.583498,0.54097,-0.025786,0.592715,133.00,0.409903,中等,98
002078,0.088529,0.031931,0.01961,8.190017,4.130624,2.234423,0.525734,0.549436,0.00263,0.636315,144.10,0.409903,中等,98
002078,0.121184,0.030226,0.019032,13.412919,6.004342,1.661352,0.493285,0.547247,0.060494,0.679995,146.00,0.409903,中等,98
002078,0.063859,0.021015,0.009169,2.678705,2.029144,5.079432,0.5618,0.551599,0.046808,0.717723,146.00,0.409903,中等,98
002080,0.019463,0.056941,0.04483,0.839712,0.847706,10.433746,0.73725,0.569308,0.055659,0.461223,126.90,0.409903,中等,98
002080,0.071546,0.04305,0.043587,1.963801,2.377944,4.160824,0.778862,0.586772,0.141332,0.386208,133.00,0.409903,中等,98
002080,0.115025,0.040623,0.045863,3.478025,4.025763,2.576346,0.868806,0.588965,0.226949,0.411123,144.10,0.409903,中等,98
002080,0.140081,0.044625,0.05118,5.694367,6.464063,1.800851,0.893999,0.582932,0.286974,0.377789,146.00,0.409903,中等,98
002080,0.040674,0.043751,0.05765,1.001539,0.965136,9.216958,1.032644,0.596711,0.08042,0.417751,146.00,0.409903,中等,98
002381,0.029035,0.045092,0.02797,0.826602,0.648127,7.590999,2.997677,0.195058,0.002355,1.795145,126.90,0.409903,低,95
002381,0.080221,0.037179,0.030474,1.820967,1.995112,2.848207,2.671158,0.220272,0.00809,2.138986,133.00,0.409903,低,95
002381,0.121207,0.038079,0.028532,3.21235,2.767617,1.950414,2.464501,0.24096,0.014819,2.279638,144.10,0.409903,低,95
002381,0.15882,0.03555,0.029801,4.103257,4.11994,1.463844,2.319268,0.25402,0.024161,2.129431,146.00,0.409903,低,95
002381,0.028344,0.049287,0.032113,0.970876,0.701501,7.180932,2.256832,0.247513,0.030228,2.410387,146.00,0.409903,低,95
002585,0.02959,0.022633,0.030869,2.302687,1.166314,4.330306,2.231772,0.156041,0.040786,2.595942,133.00,0.409903,低,97
002585,0.055892,0.022227,0.031112,3.356991,1.833029,2.834371,2.009014,0.180232,0.068463,2.142328,144.10,0.409903,低,97
002585,0.086703,0.02191,0.031073,5.341295,3.323621,2.018804,1.970153,0.186672,0.103698,1.76056,146.00,0.409903,低,97
002585,0.032555,0.031444,0.032314,1.183899,0.661741,8.096062,1.92339,0.182017,0.026366,1.505993,146.00,0.409903,低,97
002942,0.050239,0.051415,0.032312,2.390246,2.148103,4.020889,2.291767,0.24035,0.043314,1.200169,126.90,0.409903,低,89
002942,0.115414,0.047935,0.044895,4.636446,3.312951,2.022595,2.03463,0.262535,0.078503,0.880612,133.00,0.409903,低,89
002942,0.157266,0.050032,0.04885,7.311954,6.043687,1.405517,2.508486,0.220896,0.110456,0.670148,144.10,0.409903,低,89
002942,0.164384,0.054976,0.052259,10.598853,7.40075,1.131009,2.501199,0.210362,0.145675,0.781538,146.00,0.409903,低,89
002942,0.028069,0.068227,0.06798,2.281099,1.694966,5.074671,2.611622,0.200408,0.036228,0.798126,146.00,0.409903,低,89
002999,0.077797,0.015034,0.000099,20.057309,4.466549,0.651345,0.820665,0.742259,-0.14259,0.484878,144.10,0.409903,低,93
002999,0.089104,0.013413,0.000106,233.942119,5.65811,0.507249,0.734347,0.758926,0.003726,0.617786,146.00,0.409903,低,93
002999,0.012892,0.021916,0.000114,8.873653,1.090628,2.183771,0.629802,0.794738,0.022891,0.635526,146.00,0.409903,低,93
003023,0.090522,0.105208,0.023526,6.666556,1.268226,1.767748,1.826229,0.307509,0.203443,1.157015,146.00,0.409903,低,86
003023,0.028804,0.084848,0.022433,2.837389,0.298746,7.269711,1.608393,0.358417,0.069985,1.341363,146.00,0.409903,低,86
300305,0.035693,0.053305,0.041743,3.013141,5.426125,4.529051,5.123933,0.148817,0.040786,2.595942,133.00,0.409903,低,93
300305,0.055338,0.059789,0.041107,3.793393,10.730934,2.837813,4.827757,0.155595,0.068463,2.142328,144.10,0.409903,低,93
300305,0.093357,0.054069,0.045078,4.487921,19.42787,1.940509,5.607893,0.137975,0.103698,1.76056,146.00,0.409903,低,93
300305,0.037503,0.033153,0.033895,1.244536,3.394434,6.371404,6.098681,0.12138,0.026366,1.505993,146.00,0.409903,低,93
300743,-0.006825,0.080934,0.029125,0.992355,0.766651,6.211918,2.079972,0.277125,0.004917,2.454545,126.90,0.409903,低,86
300743,0.025315,0.079472,0.031641,2.124727,1.471036,2.911474,1.856945,0.305134,0.016004,2.630654,133.00,0.409903,低,86
300743,0.037421,0.085202,0.032915,3.626661,2.251911,1.829818,2.072292,0.265781,0.031301,2.593785,144.10,0.409903,低,86
300743,0.057789,0.100068,0.035041,4.423386,3.64649,1.385351,1.811741,0.325412,0.059531,1.435271,146.00,0.409903,低,86
300743,0.01817,0.085185,0.037634,1.173384,0.819734,5.357019,1.821554,0.309576,0.034797,3.008684,146.00,0.409903,低,86
300750,0.020928,0.045704,0.070721,1.151202,0.663658,11.232286,1.542994,0.573682,-0.007361,2.454545,126.90,0.409903,中等,98
300750,0.047907,0.043,0.068959,2.422885,1.503954,5.312799,1.663785,0.552648,0.006969,2.630654,133.00,0.409903,中等,98
300750,0.055304,0.036616,0.067259,3.50715,2.44822,4.370495,2.278938,0.516714,0.022593,2.593785,144.10,0.409903,中等,98
300750,0.088214,0.035138,0.070934,4.455606,2.748593,3.112481,1.812394,0.558196,0.01475,1.435271,146.00,0.409903,中等,98
300750,0.032854,0.037417,0.061606,1.563242,0.810601,9.043238,1.546531,0.588407,0.025384,3.008684,146.00,0.409903,中等,98
300798,0.006059,0.048559,0.022177,0.78723,0.640717,7.655647,2.4891,0.201549,0.014887,4.847812,126.90,0.409903,中等,95
300798,0.002074,0.054462,0.033293,1.716612,0.935783,4.759778,2.338116,0.205465,0.028258,5.523633,133.00,0.409903,中等,95
300798,0.002741,0.055517,0.033385,2.332424,1.59898,2.867821,2.421014,0.20213,0.041859,4.516505,144.10,0.409903,中等,95
300798,0.017838,0.042182,0.032598,3.390877,2.357023,2.028467,2.5183,0.199104,0.041567,3.261756,146.00,0.409903,中等,95
300798,0.016722,0.034037,0.018852,1.001542,0.789202,6.216892,2.557018,0.203616,0.020191,2.488647,146.00,0.409903,中等,95
300848,0.124695,0.020558,0.036921,8.312592,1.745753,1.710269,0.955517,0.376074,0.002234,0.816725,133.00,0.409903,低,85
300848,0.079576,0.021883,0.038061,8.245691,3.512028,1.858601,3.197498,0.216718,0.022145,1.034004,144.10,0.409903,低,85
300848,0.130304,0.022022,0.042613,43.386147,6.271902,1.371959,3.059352,0.245916,0.068836,0.942043,146.00,0.409903,低,85
300848,0.027927,0.01861,0.04188,3.521454,0.992556,4.796107,1.771717,0.384848,0.055709,1.06657,146.00,0.409903,低,85
